adc,lut_index,lut_value,ratio,gene_samples,gene_ms,mode
207,1022,0.997969389,0.993920529,477081.854,9939.20529,gene
208,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
209,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
210,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
211,1021,0.995942891,0.987877986,474181.433,9878.77986,gene
212,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
213,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
214,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
215,1020,0.993920505,0.981872171,471298.642,9818.72171,gene
216,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
217,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
218,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
219,1019,0.991902232,0.975902887,468433.386,9759.02887,gene
220,1018,0.989888012,0.96996976,465585.485,9699.6976,gene
221,1018,0.989888012,0.96996976,465585.485,9699.6976,gene
222,1018,0.989888012,0.96996976,465585.485,9699.6976,gene
223,1018,0.989888012,0.96996976,465585.485,9699.6976,gene
224,1017,0.987877905,0.96407277,462754.93,9640.7277,gene
225,1017,0.987877905,0.96407277,462754.93,9640.7277,gene
226,1017,0.987877905,0.96407277,462754.93,9640.7277,gene
227,1017,0.987877905,0.96407277,462754.93,9640.7277,gene
228,1016,0.985871911,0.958211722,459941.626,9582.11722,gene
229,1016,0.985871911,0.958211722,459941.626,9582.11722,gene
230,1016,0.985871911,0.958211722,459941.626,9582.11722,gene
231,1016,0.985871911,0.958211722,459941.626,9582.11722,gene
232,1015,0.98386997,0.952386246,457145.398,9523.86246,gene
233,1015,0.98386997,0.952386246,457145.398,9523.86246,gene
234,1015,0.98386997,0.952386246,457145.398,9523.86246,gene
235,1015,0.98386997,0.952386246,457145.398,9523.86246,gene
236,1014,0.981872141,0.946596325,454366.236,9465.96325,gene
237,1014,0.981872141,0.946596325,454366.236,9465.96325,gene
238,1014,0.981872141,0.946596325,454366.236,9465.96325,gene
239,1014,0.981872141,0.946596325,454366.236,9465.96325,gene
240,1013,0.979878306,0.94084142,451603.882,9408.4142,gene
241,1013,0.979878306,0.94084142,451603.882,9408.4142,gene
242,1013,0.979878306,0.94084142,451603.882,9408.4142,gene
243,1013,0.979878306,0.94084142,451603.882,9408.4142,gene
244,1012,0.977888525,0.935121515,448858.327,9351.21515,gene
245,1012,0.977888525,0.935121515,448858.327,9351.21515,gene
246,1012,0.977888525,0.935121515,448858.327,9351.21515,gene
247,1012,0.977888525,0.935121515,448858.327,9351.21515,gene
248,1011,0.975902796,0.92943642,446129.482,9294.3642,gene
249,1011,0.975902796,0.92943642,446129.482,9294.3642,gene
250,1011,0.975902796,0.92943642,446129.482,9294.3642,gene
251,1011,0.975902796,0.92943642,446129.482,9294.3642,gene
252,1010,0.97392112,0.923785948,443417.255,9237.85948,gene
253,1010,0.97392112,0.923785948,443417.255,9237.85948,gene
254,1010,0.97392112,0.923785948,443417.255,9237.85948,gene
255,1010,0.97392112,0.923785948,443417.255,9237.85948,gene
256,1009,0.971943438,0.918169741,440721.476,9181.69741,gene
257,1009,0.971943438,0.918169741,440721.476,9181.69741,gene
258,1009,0.971943438,0.918169741,440721.476,9181.69741,gene
259,1009,0.971943438,0.918169741,440721.476,9181.69741,gene
260,1008,0.969969809,0.912587783,438042.136,9125.87783,gene
261,1008,0.969969809,0.912587783,438042.136,9125.87783,gene
262,1008,0.969969809,0.912587783,438042.136,9125.87783,gene
263,1008,0.969969809,0.912587783,438042.136,9125.87783,gene
264,1007,0.968000174,0.90703972,435379.066,9070.3972,gene
265,1007,0.968000174,0.90703972,435379.066,9070.3972,gene
266,1007,0.968000174,0.90703972,435379.066,9070.3972,gene
267,1007,0.968000174,0.90703972,435379.066,9070.3972,gene
268,1006,0.966034532,0.90152537,432732.177,9015.2537,gene
269,1006,0.966034532,0.90152537,432732.177,9015.2537,gene
270,1006,0.966034532,0.90152537,432732.177,9015.2537,gene
271,1006,0.966034532,0.90152537,432732.177,9015.2537,gene
272,1005,0.964072824,0.896044383,430101.304,8960.44383,gene
273,1005,0.964072824,0.896044383,430101.304,8960.44383,gene
274,1005,0.964072824,0.896044383,430101.304,8960.44383,gene
275,1005,0.964072824,0.896044383,430101.304,8960.44383,gene
276,1004,0.962115169,0.890596912,427486.518,8905.96912,gene
277,1004,0.962115169,0.890596912,427486.518,8905.96912,gene
278,1004,0.962115169,0.890596912,427486.518,8905.96912,gene
279,1004,0.962115169,0.890596912,427486.518,8905.96912,gene
280,1003,0.960161507,0.88518261,424887.653,8851.8261,gene
281,1003,0.960161507,0.88518261,424887.653,8851.8261,gene
282,1003,0.960161507,0.88518261,424887.653,8851.8261,gene
283,1003,0.960161507,0.88518261,424887.653,8851.8261,gene
284,1002,0.95821178,0.879801132,422304.543,8798.01132,gene
285,1002,0.95821178,0.879801132,422304.543,8798.01132,gene
286,1002,0.95821178,0.879801132,422304.543,8798.01132,gene
287,1002,0.95821178,0.879801132,422304.543,8798.01132,gene
288,1001,0.956265986,0.874452301,419737.105,8744.52301,gene
289,1001,0.956265986,0.874452301,419737.105,8744.52301,gene
290,1001,0.956265986,0.874452301,419737.105,8744.52301,gene
291,1001,0.956265986,0.874452301,419737.105,8744.52301,gene
292,1000,0.954324186,0.869136105,417185.33,8691.36105,gene
293,1000,0.954324186,0.869136105,417185.33,8691.36105,gene
294,1000,0.954324186,0.869136105,417185.33,8691.36105,gene
295,1000,0.954324186,0.869136105,417185.33,8691.36105,gene
296,999,0.95238632,0.863852203,414649.058,8638.52203,gene
297,999,0.95238632,0.863852203,414649.058,8638.52203,gene
298,999,0.95238632,0.863852203,414649.058,8638.52203,gene
299,999,0.95238632,0.863852203,414649.058,8638.52203,gene
300,998,0.950452328,0.858600261,412128.125,8586.00261,gene
301,998,0.950452328,0.858600261,412128.125,8586.00261,gene
302,998,0.950452328,0.858600261,412128.125,8586.00261,gene
303,998,0.950452328,0.858600261,412128.125,8586.00261,gene
304,997,0.948522329,0.853380426,409622.605,8533.80426,gene
305,997,0.948522329,0.853380426,409622.605,8533.80426,gene
306,997,0.948522329,0.853380426,409622.605,8533.80426,gene
307,997,0.948522329,0.853380426,409622.605,8533.80426,gene
308,996,0.946596265,0.848192366,407132.336,8481.92366,gene
309,996,0.946596265,0.848192366,407132.336,8481.92366,gene
310,996,0.946596265,0.848192366,407132.336,8481.92366,gene
311,996,0.946596265,0.848192366,407132.336,8481.92366,gene
312,995,0.944674075,0.843035748,404657.159,8430.35748,gene
313,995,0.944674075,0.843035748,404657.159,8430.35748,gene
314,995,0.944674075,0.843035748,404657.159,8430.35748,gene
315,995,0.944674075,0.843035748,404657.159,8430.35748,gene
316,994,0.942755818,0.837910561,402197.069,8379.10561,gene
317,994,0.942755818,0.837910561,402197.069,8379.10561,gene
318,994,0.942755818,0.837910561,402197.069,8379.10561,gene
319,994,0.942755818,0.837910561,402197.069,8379.10561,gene
320,993,0.940841436,0.832816477,399751.909,8328.16477,gene
321,993,0.940841436,0.832816477,399751.909,8328.16477,gene
322,993,0.940841436,0.832816477,399751.909,8328.16477,gene
323,993,0.940841436,0.832816477,399751.909,8328.16477,gene
324,992,0.938930929,0.827753328,397321.597,8277.53328,gene
325,992,0.938930929,0.827753328,397321.597,8277.53328,gene
326,992,0.938930929,0.827753328,397321.597,8277.53328,gene
327,992,0.938930929,0.827753328,397321.597,8277.53328,gene
328,991,0.937024295,0.822720946,394906.054,8227.20946,gene
329,991,0.937024295,0.822720946,394906.054,8227.20946,gene
330,991,0.937024295,0.822720946,394906.054,8227.20946,gene
331,991,0.937024295,0.822720946,394906.054,8227.20946,gene
332,990,0.935121536,0.817719167,392505.2,8177.19167,gene
333,990,0.935121536,0.817719167,392505.2,8177.19167,gene
334,990,0.935121536,0.817719167,392505.2,8177.19167,gene
335,990,0.935121536,0.817719167,392505.2,8177.19167,gene
336,989,0.933222651,0.812747823,390118.955,8127.47823,gene
337,989,0.933222651,0.812747823,390118.955,8127.47823,gene
338,989,0.933222651,0.812747823,390118.955,8127.47823,gene
339,989,0.933222651,0.812747823,390118.955,8127.47823,gene
340,988,0.931327641,0.80780675,387747.24,8078.0675,gene
341,988,0.931327641,0.80780675,387747.24,8078.0675,gene
342,988,0.931327641,0.80780675,387747.24,8078.0675,gene
343,988,0.931327641,0.80780675,387747.24,8078.0675,gene
344,987,0.929436445,0.80289563,385389.903,8028.9563,gene
345,987,0.929436445,0.80289563,385389.903,8028.9563,gene
346,987,0.929436445,0.80289563,385389.903,8028.9563,gene
347,987,0.929436445,0.80289563,385389.903,8028.9563,gene
348,986,0.927549124,0.798014456,383046.939,7980.14456,gene
349,986,0.927549124,0.798014456,383046.939,7980.14456,gene
350,986,0.927549124,0.798014456,383046.939,7980.14456,gene
351,986,0.927549124,0.798014456,383046.939,7980.14456,gene
352,985,0.925665617,0.79316291,380718.197,7931.6291,gene
353,985,0.925665617,0.79316291,380718.197,7931.6291,gene
354,985,0.925665617,0.79316291,380718.197,7931.6291,gene
355,985,0.925665617,0.79316291,380718.197,7931.6291,gene
356,984,0.923785925,0.788340835,378403.601,7883.40835,gene
357,984,0.923785925,0.788340835,378403.601,7883.40835,gene
358,984,0.923785925,0.788340835,378403.601,7883.40835,gene
359,984,0.923785925,0.788340835,378403.601,7883.40835,gene
360,983,0.921910107,0.783548221,376103.146,7835.48221,gene
361,983,0.921910107,0.783548221,376103.146,7835.48221,gene
362,983,0.921910107,0.783548221,376103.146,7835.48221,gene
363,983,0.921910107,0.783548221,376103.146,7835.48221,gene
364,982,0.920038044,0.778784606,373816.611,7787.84606,gene
365,982,0.920038044,0.778784606,373816.611,7787.84606,gene
366,982,0.920038044,0.778784606,373816.611,7787.84606,gene
367,982,0.920038044,0.778784606,373816.611,7787.84606,gene
368,981,0.918169796,0.774049986,371543.993,7740.49986,gene
369,981,0.918169796,0.774049986,371543.993,7740.49986,gene
370,981,0.918169796,0.774049986,371543.993,7740.49986,gene
371,981,0.918169796,0.774049986,371543.993,7740.49986,gene
372,980,0.916305304,0.769344053,369285.145,7693.44053,gene
373,980,0.916305304,0.769344053,369285.145,7693.44053,gene
374,980,0.916305304,0.769344053,369285.145,7693.44053,gene
375,980,0.916305304,0.769344053,369285.145,7693.44053,gene
376,979,0.914444625,0.764666801,367040.064,7646.66801,gene
377,979,0.914444625,0.764666801,367040.064,7646.66801,gene
378,979,0.914444625,0.764666801,367040.064,7646.66801,gene
379,979,0.914444625,0.764666801,367040.064,7646.66801,gene
380,978,0.912587762,0.760018076,364808.676,7600.18076,gene
381,978,0.912587762,0.760018076,364808.676,7600.18076,gene
382,978,0.912587762,0.760018076,364808.676,7600.18076,gene
383,978,0.912587762,0.760018076,364808.676,7600.18076,gene
384,977,0.910734653,0.755397573,362590.835,7553.97573,gene
385,977,0.910734653,0.755397573,362590.835,7553.97573,gene
386,977,0.910734653,0.755397573,362590.835,7553.97573,gene
387,977,0.910734653,0.755397573,362590.835,7553.97573,gene
388,976,0.908885241,0.750804994,360386.397,7508.04994,gene
389,976,0.908885241,0.750804994,360386.397,7508.04994,gene
390,976,0.908885241,0.750804994,360386.397,7508.04994,gene
391,976,0.908885241,0.750804994,360386.397,7508.04994,gene
392,975,0.907039642,0.746240482,358195.432,7462.40482,gene
393,975,0.907039642,0.746240482,358195.432,7462.40482,gene
394,975,0.907039642,0.746240482,358195.432,7462.40482,gene
395,975,0.907039642,0.746240482,358195.432,7462.40482,gene
396,974,0.905197799,0.741703739,356017.795,7417.03739,gene
397,974,0.905197799,0.741703739,356017.795,7417.03739,gene
398,974,0.905197799,0.741703739,356017.795,7417.03739,gene
399,974,0.905197799,0.741703739,356017.795,7417.03739,gene
400,973,0.903359711,0.737194613,353853.414,7371.94613,gene
401,973,0.903359711,0.737194613,353853.414,7371.94613,gene
402,973,0.903359711,0.737194613,353853.414,7371.94613,gene
403,973,0.903359711,0.737194613,353853.414,7371.94613,gene
404,972,0.901525319,0.73271281,351702.149,7327.1281,gene
405,972,0.901525319,0.73271281,351702.149,7327.1281,gene
406,972,0.901525319,0.73271281,351702.149,7327.1281,gene
407,972,0.901525319,0.73271281,351702.149,7327.1281,gene
408,971,0.899694622,0.728258182,349563.927,7282.58182,gene
409,971,0.899694622,0.728258182,349563.927,7282.58182,gene
410,971,0.899694622,0.728258182,349563.927,7282.58182,gene
411,971,0.899694622,0.728258182,349563.927,7282.58182,gene
412,970,0.89786768,0.723830728,347438.749,7238.30728,gene
413,970,0.89786768,0.723830728,347438.749,7238.30728,gene
414,970,0.89786768,0.723830728,347438.749,7238.30728,gene
415,970,0.89786768,0.723830728,347438.749,7238.30728,gene
416,969,0.896044493,0.7194303,345326.544,7194.303,gene
417,969,0.896044493,0.7194303,345326.544,7194.303,gene
418,969,0.896044493,0.7194303,345326.544,7194.303,gene
419,969,0.896044493,0.7194303,345326.544,7194.303,gene
420,968,0.894224942,0.715056464,343227.103,7150.56464,gene
421,968,0.894224942,0.715056464,343227.103,7150.56464,gene
422,968,0.894224942,0.715056464,343227.103,7150.56464,gene
423,968,0.894224942,0.715056464,343227.103,7150.56464,gene
424,967,0.892409086,0.710709221,341140.426,7107.09221,gene
425,967,0.892409086,0.710709221,341140.426,7107.09221,gene
426,967,0.892409086,0.710709221,341140.426,7107.09221,gene
427,967,0.892409086,0.710709221,341140.426,7107.09221,gene
428,966,0.890596926,0.706388427,339066.445,7063.88427,gene
429,966,0.890596926,0.706388427,339066.445,7063.88427,gene
430,966,0.890596926,0.706388427,339066.445,7063.88427,gene
431,966,0.890596926,0.706388427,339066.445,7063.88427,gene
432,965,0.888788462,0.702093939,337005.091,7020.93939,gene
433,965,0.888788462,0.702093939,337005.091,7020.93939,gene
434,965,0.888788462,0.702093939,337005.091,7020.93939,gene
435,965,0.888788462,0.702093939,337005.091,7020.93939,gene
436,964,0.886983693,0.697825613,334956.294,6978.25613,gene
437,964,0.886983693,0.697825613,334956.294,6978.25613,gene
438,964,0.886983693,0.697825613,334956.294,6978.25613,gene
439,964,0.886983693,0.697825613,334956.294,6978.25613,gene
440,963,0.885182559,0.693583169,332919.921,6935.83169,gene
441,963,0.885182559,0.693583169,332919.921,6935.83169,gene
442,963,0.885182559,0.693583169,332919.921,6935.83169,gene
443,963,0.885182559,0.693583169,332919.921,6935.83169,gene
444,962,0.883385062,0.689366466,330895.904,6893.66466,gene
445,962,0.883385062,0.689366466,330895.904,6893.66466,gene
446,962,0.883385062,0.689366466,330895.904,6893.66466,gene
447,962,0.883385062,0.689366466,330895.904,6893.66466,gene
448,961,0.88159126,0.685175505,328884.242,6851.75505,gene
449,961,0.88159126,0.685175505,328884.242,6851.75505,gene
450,961,0.88159126,0.685175505,328884.242,6851.75505,gene
451,961,0.88159126,0.685175505,328884.242,6851.75505,gene
452,960,0.879801095,0.681010007,326884.803,6810.10007,gene
453,960,0.879801095,0.681010007,326884.803,6810.10007,gene
454,960,0.879801095,0.681010007,326884.803,6810.10007,gene
455,960,0.879801095,0.681010007,326884.803,6810.10007,gene
456,959,0.878014505,0.676869697,324897.455,6768.69697,gene
457,959,0.878014505,0.676869697,324897.455,6768.69697,gene
458,959,0.878014505,0.676869697,324897.455,6768.69697,gene
459,959,0.878014505,0.676869697,324897.455,6768.69697,gene
460,958,0.876231611,0.672754715,322922.263,6727.54715,gene
461,958,0.876231611,0.672754715,322922.263,6727.54715,gene
462,958,0.876231611,0.672754715,322922.263,6727.54715,gene
463,958,0.876231611,0.672754715,322922.263,6727.54715,gene
464,957,0.874452293,0.668664648,320959.031,6686.64648,gene
465,957,0.874452293,0.668664648,320959.031,6686.64648,gene
466,957,0.874452293,0.668664648,320959.031,6686.64648,gene
467,957,0.874452293,0.668664648,320959.031,6686.64648,gene
468,956,0.872676611,0.664599498,319007.759,6645.99498,gene
469,956,0.872676611,0.664599498,319007.759,6645.99498,gene
470,956,0.872676611,0.664599498,319007.759,6645.99498,gene
471,956,0.872676611,0.664599498,319007.759,6645.99498,gene
472,955,0.870904565,0.660559132,317068.383,6605.59132,gene
473,955,0.870904565,0.660559132,317068.383,6605.59132,gene
474,955,0.870904565,0.660559132,317068.383,6605.59132,gene
475,955,0.870904565,0.660559132,317068.383,6605.59132,gene
476,954,0.869136095,0.656543278,315140.774,6565.43278,gene
477,954,0.869136095,0.656543278,315140.774,6565.43278,gene
478,954,0.869136095,0.656543278,315140.774,6565.43278,gene
479,954,0.869136095,0.656543278,315140.774,6565.43278,gene
480,953,0.867371202,0.652551806,313224.867,6525.51806,gene
481,953,0.867371202,0.652551806,313224.867,6525.51806,gene
482,953,0.867371202,0.652551806,313224.867,6525.51806,gene
483,953,0.867371202,0.652551806,313224.867,6525.51806,gene
484,952,0.865609884,0.648584582,311320.6,6485.84582,gene
485,952,0.865609884,0.648584582,311320.6,6485.84582,gene
486,952,0.865609884,0.648584582,311320.6,6485.84582,gene
487,952,0.865609884,0.648584582,311320.6,6485.84582,gene
488,951,0.863852143,0.644641477,309427.909,6446.41477,gene
489,951,0.863852143,0.644641477,309427.909,6446.41477,gene
490,951,0.863852143,0.644641477,309427.909,6446.41477,gene
491,951,0.863852143,0.644641477,309427.909,6446.41477,gene
492,950,0.862097979,0.64072236,307546.733,6407.2236,gene
493,950,0.862097979,0.64072236,307546.733,6407.2236,gene
494,950,0.862097979,0.64072236,307546.733,6407.2236,gene
495,950,0.862097979,0.64072236,307546.733,6407.2236,gene
496,949,0.86034739,0.636827101,305677.008,6368.27101,gene
497,949,0.86034739,0.636827101,305677.008,6368.27101,gene
498,949,0.86034739,0.636827101,305677.008,6368.27101,gene
499,949,0.86034739,0.636827101,305677.008,6368.27101,gene
500,948,0.858600318,0.632955438,303818.61,6329.55438,gene
501,948,0.858600318,0.632955438,303818.61,6329.55438,gene
502,948,0.858600318,0.632955438,303818.61,6329.55438,gene
503,948,0.858600318,0.632955438,303818.61,6329.55438,gene
504,947,0.856856823,0.629107377,301971.541,6291.07377,gene
505,947,0.856856823,0.629107377,301971.541,6291.07377,gene
506,947,0.856856823,0.629107377,301971.541,6291.07377,gene
507,947,0.856856823,0.629107377,301971.541,6291.07377,gene
508,946,0.855116904,0.625282789,300135.739,6252.82789,gene
509,946,0.855116904,0.625282789,300135.739,6252.82789,gene
510,946,0.855116904,0.625282789,300135.739,6252.82789,gene
511,946,0.855116904,0.625282789,300135.739,6252.82789,gene
512,945,0.853380442,0.621481286,298311.017,6214.81286,gene
513,945,0.853380442,0.621481286,298311.017,6214.81286,gene
514,945,0.853380442,0.621481286,298311.017,6214.81286,gene
515,945,0.853380442,0.621481286,298311.017,6214.81286,gene
516,944,0.851647556,0.617703004,296497.442,6177.03004,gene
517,944,0.851647556,0.617703004,296497.442,6177.03004,gene
518,944,0.851647556,0.617703004,296497.442,6177.03004,gene
519,944,0.851647556,0.617703004,296497.442,6177.03004,gene
520,943,0.849918187,0.613947687,294694.89,6139.47687,gene
521,943,0.849918187,0.613947687,294694.89,6139.47687,gene
522,943,0.849918187,0.613947687,294694.89,6139.47687,gene
523,943,0.849918187,0.613947687,294694.89,6139.47687,gene
524,942,0.848192334,0.610215211,292903.301,6102.15211,gene
525,942,0.848192334,0.610215211,292903.301,6102.15211,gene
526,942,0.848192334,0.610215211,292903.301,6102.15211,gene
527,942,0.848192334,0.610215211,292903.301,6102.15211,gene
528,941,0.846469998,0.606505453,291122.617,6065.05453,gene
529,941,0.846469998,0.606505453,291122.617,6065.05453,gene
530,941,0.846469998,0.606505453,291122.617,6065.05453,gene
531,941,0.846469998,0.606505453,291122.617,6065.05453,gene
532,940,0.84475112,0.602818162,289352.718,6028.18162,gene
533,940,0.84475112,0.602818162,289352.718,6028.18162,gene
534,940,0.84475112,0.602818162,289352.718,6028.18162,gene
535,940,0.84475112,0.602818162,289352.718,6028.18162,gene
536,939,0.843035758,0.599153343,287593.605,5991.53343,gene
537,939,0.843035758,0.599153343,287593.605,5991.53343,gene
538,939,0.843035758,0.599153343,287593.605,5991.53343,gene
539,939,0.843035758,0.599153343,287593.605,5991.53343,gene
540,938,0.841323853,0.59551075,285845.16,5955.1075,gene
541,938,0.841323853,0.59551075,285845.16,5955.1075,gene
542,938,0.841323853,0.59551075,285845.16,5955.1075,gene
543,938,0.841323853,0.59551075,285845.16,5955.1075,gene
544,937,0.839615405,0.591890261,284107.325,5918.90261,gene
545,937,0.839615405,0.591890261,284107.325,5918.90261,gene
546,937,0.839615405,0.591890261,284107.325,5918.90261,gene
547,937,0.839615405,0.591890261,284107.325,5918.90261,gene
548,936,0.837910473,0.588291883,282380.104,5882.91883,gene
549,936,0.837910473,0.588291883,282380.104,5882.91883,gene
550,936,0.837910473,0.588291883,282380.104,5882.91883,gene
551,936,0.837910473,0.588291883,282380.104,5882.91883,gene
552,935,0.836208999,0.584715372,280663.378,5847.15372,gene
553,935,0.836208999,0.584715372,280663.378,5847.15372,gene
554,935,0.836208999,0.584715372,280663.378,5847.15372,gene
555,935,0.836208999,0.584715372,280663.378,5847.15372,gene
556,934,0.834510982,0.581160607,278957.091,5811.60607,gene
557,934,0.834510982,0.581160607,278957.091,5811.60607,gene
558,934,0.834510982,0.581160607,278957.091,5811.60607,gene
559,934,0.834510982,0.581160607,278957.091,5811.60607,gene
560,933,0.832816422,0.577627473,277261.187,5776.27473,gene
561,933,0.832816422,0.577627473,277261.187,5776.27473,gene
562,933,0.832816422,0.577627473,277261.187,5776.27473,gene
563,933,0.832816422,0.577627473,277261.187,5776.27473,gene
564,932,0.831125259,0.574115728,275575.549,5741.15728,gene
565,932,0.831125259,0.574115728,275575.549,5741.15728,gene
566,932,0.831125259,0.574115728,275575.549,5741.15728,gene
567,932,0.831125259,0.574115728,275575.549,5741.15728,gene
568,931,0.829437554,0.57062538,273900.182,5706.2538,gene
569,931,0.829437554,0.57062538,273900.182,5706.2538,gene
570,931,0.829437554,0.57062538,273900.182,5706.2538,gene
571,931,0.829437554,0.57062538,273900.182,5706.2538,gene
572,930,0.827753305,0.567156314,272235.031,5671.56314,gene
573,930,0.827753305,0.567156314,272235.031,5671.56314,gene
574,930,0.827753305,0.567156314,272235.031,5671.56314,gene
575,930,0.827753305,0.567156314,272235.031,5671.56314,gene
